pais,fecha,anio,nota_no,fuente,url_pagina,url_pdf,decreto,tipo,base_legal,causa,plazo_dias,alcance,derechos,ocr_chars
República Dominicana,2021-06-09,2021,MPRD-OEA 0679-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0679-2021.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional -, tiene a bien referirse al cumplimiento de lo establecido en el artículo 27, inciso 3, de la Convención Americana sobre Derechos Humanos (CADH)",5793
República Dominicana,2021-06-15,2021,MPRD-OEA 0729 -2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0729-2021.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional -, tiene a bien referirse al cumplimiento de lo establecido en el artículo 27, inciso 3, dela Convención Americana sobre Derechos Humanos (CADH)",8174
Argentina,2021-06-28,2021,131,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_131-2021.pdf,Decreto N* 167/21,,,desastre/salud,,,,12196
Paraguay,2021-06-28,2021,650-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_650-21-MPP-OEA.pdf,DECRETO N* 5516,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, el texto de la última disposición emitida por la Presidencia de la República del Paraguay en el m",7535
Perú,2021-07-02,2021,7-5-M/088,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-088-2021.pdf,Decreto Supremo N* 123-2021,estado de emergencia,Art. 2 Constitución,desastre/salud,,,"Internacional- y tiene a bien informar que mediante Decreto Supremo N* 123-2021-PCM, publicado el 18 de junio de 2021, se ha dispuesto la prórroga del Estado de",1748
República Dominicana,2021-07-06,2021,MPRD-OEA 0803 -2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0803-2021.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional -, tiene a bien referirse al cumplimiento de lo establecido en el artículo 27, inciso 3, de la Convención Americana sobre Derechos Humanos (CADH)",8260
Paraguay,2021-07-13,2021,691-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_691-21-MPP-OEA.pdf,Decreto N.* 3442,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, el texto de la última disposición emitida por la Presidencia de la República del Paraguay en el m",7417
Argentina,2021-07-15,2021,140,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_140-2021.pdf,Decreto N* 167/21,,,desastre/salud,,,,11954
Argentina,2021-07-16,2021,142,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_142-2021.pdf,Decreto N* 167/21,,,desastre/salud,,,Civiles y Políticos,12570
Ecuador,2021-07-16,2021,4-2-189/2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-189-2021.pdf,Decreto Ejecutivo No. 116,estado de excepción,Art. 361 Constitución,desastre/salud; orden público,,,"Internacional — y, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana de Derechos Humanos, tiene a honra remitir para su",11442
Ecuador,2021-07-29,2021,4-2-207/2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-207-2021.pdf,Decreto Ejecutivo No. 140,estado de excepción,Art. 166 Constitución,desastre/salud,,,"Internacional — y, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana de Derechos Humanos, tiene a honra remitir para su",8278
Perú,2021-08-04,2021,7-5-M/105,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-105-2021.pdf,Decreto Supremo N* 131-2021,estado de emergencia,Art. 2 Constitución,desastre/salud,,,"Internacional- y, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana sobre Derechos Humanos, tiene a bien informar que m",1902
República Dominicana,2021-08-05,2021,MPRD-OEA 0940 -2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0940-2021.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional -, tiene a bien referirse al cumplimiento de lo establecido en el artículo 27, inciso 3, de la Convención Americana sobre Derechos Humanos (CADH)",8180
Argentina,2021-08-10,2021,163,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_163-2021.pdf,Decreto N*167/21,,,desastre/salud,,nacional,,11530
Guatemala,2021-08-18,2021,NV-OEA-M4-659-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_M4-659-2021.pdf,,estado de calamidad,,desastre/salud,,nacional,"Humanos, el señor Viceministro Martínez hace del conocimiento que el 13 de agosto de 2021, el Señor Alejandro Giammattei Falla, Presidente de la República de Gu",9233
Paraguay,2021-08-26,2021,802-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_802-21-MPP-OEA.pdf,DECRETO N* 5855,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, textos de las últimas disposiciones emitidas por la Presidencia de la República del Paraguay en e",8854
