pais,pais_en,fecha,anio,tipo_evento,regimen,regimen_origen,cn_ref,url_pdf,fuente,texto,snippet
Guatemala,Guatemala,2020-07-06,2020,extensión,estado de sitio,heredado,C.N.285.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.285.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 1 July 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of public disaster throughout the national territory for an additional period of thirty days by Government Decree No. 12-2020 of 23 June 2020. (See C.N.285.2020 .TREATIES-IV.4 of 8 July 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 1 July 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of public disaster throughout the nat"
Paraguay,Paraguay,2020-07-15,2020,declaración,estado de emergencia,directo,C.N.318.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.318.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Paraguay a notification dated 15 July 2020, made under article 4 (3) of the above Covenant, regarding the measures taken by the Paraguayan State in the framework of the declaration of health emergency. (See C.N.318.2020 .TREATIES-IV.4 of 24 July 2020 for the text of the notification.)","The Secretary-General received from the Government of Paraguay a notification dated 15 July 2020, made under article 4 (3) of the above Covenant, regarding the measures taken by the Paraguayan State in the framework of t"
Guatemala,Guatemala,2020-07-24,2020,declaración,estado de sitio,directo,C.N.321.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.321.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 22 July 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of siege throughout the territory of the municipalities of El Estor, Morales and Livingston, in the Department of Izabal, and in the municipalities of Panzós and Santa Catalina La Tinta, in the Department of Alta Verapaz, by Government Decree No. 13-2020 of 18 July 2020 for a period of thirty days from the date of entry into force of said Decree. (See C.N.321.2020 .TREATIES-IV.4 of 27 July 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 22 July 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of siege throughout the territory of"
República Dominicana,Dominican Republic,2020-07-31,2020,declaración,estado de emergencia,directo,C.N.327.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.327.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of the Dominican Republic a notification dated 28 July 2020, made under article 4 (3) of the above Covenant, regarding a declaration of a state of emergency for a period of 45 days starting on 20 July 2020 in its entire territory. (See C.N.327.2020 .TREATIES-IV.4 of 3 August 2020 for the text of the notification.)","The Secretary-General received from the Government of the Dominican Republic a notification dated 28 July 2020, made under article 4 (3) of the above Covenant, regarding a declaration of a state of emergency for a period"
Guatemala,Guatemala,2020-08-03,2020,extensión,estado de sitio,heredado,C.N.328.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.328.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 29 July 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of public disaster throughout the national territory for an additional period of thirty days by Government Decree No. 15-2020 of 26 juillet 2020. (See C.N.328.2020 .TREATIES-IV.4 of 5 August 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 29 July 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of public disaster throughout the na"
Perú,Peru,2020-08-05,2020,extensión,estado de emergencia,heredado,C.N.351.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.351.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Peru a notification dated 4 August 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency from 1 to 31 August 2020 by Supreme Decree No. 135-2020-PCM of 31 July 2020. (See C.N.351.2020 .TREATIES-IV.4 of 24 August 2020 for the text of the notification.)","The Secretary-General received from the Government of Peru a notification dated 4 August 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency from 1 to 31 Augus"
Paraguay,Paraguay,2020-08-06,2020,declaración,estado de emergencia,directo,C.N.348.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.348.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Paraguay a notification dated 27 July 2020, made under article 4 (3) of the above Covenant, regarding the measures taken by the Paraguayan State in the framework of the declaration of health emergency. (See depositary notification C.N.348.2020 .TREATIES-IV.4 of 18 August 2020 for the text of the notification.)","The Secretary-General received from the Government of Paraguay a notification dated 27 July 2020, made under article 4 (3) of the above Covenant, regarding the measures taken by the Paraguayan State in the framework of t"
Ecuador,Ecuador,2020-08-19,2020,declaración,estado de emergencia,directo,C.N.379.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.379.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Ecuador a notification dated 13 August 2020, made under article 4 (3) of the above Covenant, regarding the state of emergency declared for a period of 60 days by Executive Decree No. 1125 of 11 August 2020. (See C.N.379.2020 .TREATIES-IV.4 of 4 September 2020 for the text of the notification.)","The Secretary-General received from the Government of Ecuador a notification dated 13 August 2020, made under article 4 (3) of the above Covenant, regarding the state of emergency declared for a period of 60 days by Exec"
Guatemala,Guatemala,2020-08-20,2020,declaración,estado de sitio,heredado,C.N.352.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.352.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 18 August 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of alert throughout the territory of the municipalities of El Estor, Morales and Livingston, in the Department of Izabal, and in the municipalities of Panzós and Santa Catalina La Tinta, in the Department of Alta Verapaz, by Government Decree No. 16-2020 of 13 August 2020 for a period of fifteen days from the date of entry into force of said Decree. (See C.N.352.2020 .TREATIES-IV.4 of 25 August 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 18 August 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of alert throughout the territory "
Perú,Peru,2020-09-02,2020,extensión,estado de emergencia,heredado,C.N.392.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.392.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Peru a notification dated 2 September 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency and targeted quarantine in various provinces and departments by Supreme Decree No. 146-2020-PCM of 28 August 2020. (See C.N.392.2020 .TREATIES-IV.4 of 14 September 2020 for the text of the notification.)","The Secretary-General received from the Government of Peru a notification dated 2 September 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency and targeted qu"
